,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15692761,718,France,Male,36,9,0.0,1,True,False,45909.87,False
1,15700046,635,France,Male,41,4,103544.88,2,True,False,193746.55,False
2,15709324,417,France,Male,34,7,0.0,2,True,False,55003.79,False
3,15745452,651,Germany,Male,41,1,90218.11,1,True,False,174337.68,False
4,15599081,507,Germany,Female,46,8,102785.16,1,True,True,70323.68,False
5,15658670,669,France,Female,38,8,0.0,2,True,False,84049.16,False
6,15791991,773,France,Male,52,4,0.0,1,False,True,144113.42,False
7,15594450,695,France,Male,49,9,159458.53,1,True,False,135841.35,False
8,15596914,630,Germany,Female,31,2,112373.49,2,True,True,131167.98,False
9,15709396,801,France,Male,42,6,0.0,2,True,True,95804.33,False
10,15753837,573,Spain,Male,38,4,0.0,2,True,True,196517.43,False
11,15585041,511,France,Male,33,7,0.0,2,False,True,158313.87,False
12,15692002,538,France,Male,33,6,93791.38,1,True,True,199249.29,False
13,15756475,551,Germany,Male,31,9,82293.82,2,True,True,91565.25,False
14,15675252,734,Spain,Female,39,3,92636.96,2,True,True,125671.29,False
15,15800845,732,Spain,Female,33,8,111379.55,1,True,True,45098.62,False
16,15579166,619,France,Female,30,7,70729.17,1,True,True,160948.87,False
17,15778320,848,Germany,Female,40,5,148495.64,1,False,False,158853.98,False
18,15576723,740,France,Female,37,7,0.0,2,True,True,194270.91,False
19,15566295,761,France,Female,33,6,138053.79,2,True,False,148779.41,False
20,15633950,737,France,Male,41,1,101960.74,1,True,True,123547.28,False
21,15812197,850,France,Male,38,7,80293.98,1,False,False,126555.74,False
22,15754929,757,France,Male,31,10,39539.39,2,False,False,192519.39,False
23,15684645,704,Germany,Male,41,9,62078.21,2,True,False,129050.67,False
24,15748532,828,Spain,Male,42,10,0.0,1,True,True,186071.14,False
25,15736371,633,France,Female,34,3,123034.43,2,True,True,38315.04,False
26,15619932,847,France,Male,66,7,123760.68,1,False,True,53157.16,False
27,15602479,609,Spain,Male,37,5,129312.79,1,True,True,26793.82,False
28,15705515,587,Germany,Male,40,5,138241.9,2,True,False,159418.1,False
29,15728005,698,France,Female,57,9,111359.55,2,True,False,105715.01,False
30,15596021,598,Spain,Male,44,8,0.0,2,True,False,148487.9,False
31,15701932,586,France,Female,52,6,140900.97,1,True,True,67288.89,False
32,15674254,554,Spain,Female,45,4,0.0,2,True,True,193412.05,False
